No,Area Cell,Area Reality,Scoring,Storage,Scoring,Perimeter,Peri-Efficiency,Scoring,Total Score
332,35,10.59,9.99,3,2.16,24,0.0608,10.94,23.08
333,40,12.10,9.82,7,3.90,26,0.0592,10.65,24.38
334,56,16.94,8.07,10,5.01,30,0.0622,11.20,24.29
335,55,16.64,8.24,6,3.51,30,0.0611,11.00,22.74
336,40,12.10,9.82,2,1.62,26,0.0592,10.65,22.10
337,56,16.94,8.07,5,3.09,30,0.0622,11.20,22.36
338,36,10.89,9.97,5,3.09,24,0.0625,11.25,24.30
339,42,12.71,9.71,5,3.09,26,0.0621,11.18,23.98
340,48,14.52,9.18,3,2.16,28,0.0612,11.02,22.36
341,35,10.59,9.99,3,2.16,24,0.0608,10.94,23.08
342,37,11.19,9.94,5,3.09,26,0.0547,9.85,22.88
343,39,11.80,9.87,6,3.51,28,0.0497,8.95,22.33
344,49,14.82,9.07,1,1.00,28,0.0625,11.25,21.32
345,35,10.59,9.99,2,1.62,24,0.0608,10.94,22.55
346,49,14.82,9.07,6,3.51,28,0.0625,11.25,23.82
347,42,12.71,9.71,5,3.09,26,0.0621,11.18,23.98
348,49,14.82,9.07,2,1.62,28,0.0625,11.25,21.94
349,42,12.71,9.71,1,1.00,26,0.0621,11.18,21.89
350,45,13.61,9.48,6,3.51,28,0.0574,10.33,23.31
351,42,12.71,9.71,1,1.00,26,0.0621,11.18,21.89
352,56,16.94,8.07,3,2.16,30,0.0622,11.20,21.43
353,42,12.71,9.71,7,3.90,26,0.0621,11.18,24.80
354,36,10.89,9.97,2,1.62,24,0.0625,11.25,22.84
355,47,14.22,9.29,7,3.90,28,0.0599,10.79,23.98
356,36,10.89,9.97,3,2.16,24,0.0625,11.25,23.38
357,42,12.71,9.71,5,3.09,26,0.0621,11.18,23.98
358,30,9.08,9.97,2,1.62,22,0.0620,11.16,22.75
359,40,12.10,9.82,6,3.51,26,0.0592,10.65,23.98
360,42,12.71,9.71,7,3.90,26,0.0621,11.18,24.80
361,40,12.10,9.82,3,2.16,26,0.0592,10.65,22.63
